"member_id","monthly_rate","join_date","cancel_date","zipcode","personal_training_client","check_ins_per_week","dob","age","membership_length_in_months","age_group"
"CP1000036446",155,"2012-01-04",,10024,FALSE,4,,,124,""
"CP1000036481",130,"2012-01-06","2019-03-21",10003,FALSE,3,"1946-09-06",75,86,"75+"
"CP1000036507",180,"2012-01-09","2018-11-02",10014,FALSE,4,"1982-12-31",39,81,"25-54"
"CP1000036521",180,"2012-01-09","2019-02-01",10011,FALSE,1,"1900-01-01",122,84,"75+"
"CP1000036581",100,"2012-01-13","2018-12-29",10011,FALSE,2,"1966-03-15",56,83,"55-74"
"CP1000036604",130,"2012-01-15","2019-06-30",10031,FALSE,4,"1900-01-01",122,89,"75+"
"CP1000036613",100,"2012-01-16","2019-01-01",10014,FALSE,2,"1900-01-01",122,83,"75+"
"CP1000036805",130,"2012-01-28","2019-08-23",10014,TRUE,1,"1900-01-01",122,90,"75+"
"CP1000036820",100,"2012-01-29",,10011,FALSE,4,"1978-09-02",43,123,"25-54"
"CP1000036854",130,"2012-01-30","2019-08-01",10011,FALSE,2,"1946-05-30",75,90,"75+"
"CP1000036890",130,"2012-01-31","2019-02-01",10011,FALSE,1,"1900-01-01",122,84,"75+"
"CP1000036967",155,"2012-02-04",,10011,FALSE,2,,,123,""
"CP1000036974",100,"2012-02-05","2019-08-02",10011,FALSE,1,"1982-02-02",40,89,"25-54"
"CP1000037139",180,"2012-02-10",,10012,FALSE,2,"1900-01-01",122,123,"75+"
"CP1000037399",130,"2012-02-27","2019-02-01",10003,FALSE,6,"1900-01-01",122,83,"75+"
"CP1000037402",130,"2012-02-27","2019-03-31",10011,FALSE,1,"1970-05-08",52,85,"25-54"
"CP1000037433",180,"2012-02-29",,10003,FALSE,5,"1944-10-08",77,122,"75+"
"CP1000037438",130,"2012-02-29","2019-01-31",10011,FALSE,1,"1968-10-07",53,83,"25-54"
"CP1000037748",210,"2012-04-01","2019-09-01",,FALSE,3,"1940-12-28",81,89,"75+"
"CP1000038173",130,"2012-08-13","2019-09-01",10011,FALSE,4,"1900-01-01",122,84,"75+"
"CP1000038336",180,"2012-07-25","2019-06-30",10011,FALSE,1,"1975-05-05",47,83,"25-54"
"CP1000038402",180,"2012-08-28","2019-04-01",10011,FALSE,3,"1900-01-01",122,79,"75+"
"CP1000038504",155,"2012-07-25",,10003,FALSE,2,"1980-09-09",41,117,"25-54"
"CP1000038506",180,"2012-09-07",,8540,TRUE,2,"1990-11-02",31,116,"25-54"
"CP1000038591",130,"2012-09-16","2019-03-01",10011,FALSE,0,"1900-01-01",122,77,"75+"
"CP1000038686",210,"2012-09-30",,10011,FALSE,9,,,115,""
"CP1000038700",130,"2012-10-01","2019-05-01",10011,FALSE,8,"1900-01-01",122,79,"75+"
"CP1000038744",130,"2012-07-25","2018-08-28",10012,FALSE,4,"1900-01-01",122,73,"75+"
"CP1000038935",100,"2012-11-12","2019-09-21",10011,FALSE,3,"1948-07-07",73,82,"55-74"
"CP1000038968",210,"2012-11-13",,10011,FALSE,4,,,114,""
"CP1000039087",100,"2012-11-28","2018-12-03",10014,FALSE,4,"1975-07-17",46,72,"25-54"
"CP1000039106",180,"2012-12-01","2018-10-01",10011,FALSE,1,"1990-01-01",32,70,"25-54"
"CP1000039264",130,"2012-12-28","2019-06-30",10003,FALSE,1,"1961-02-05",61,78,"55-74"
"CP1000039309",130,"2012-12-31",,10011,FALSE,4,"1982-02-02",40,112,"25-54"
"CP1000039338",130,"2013-01-04","2018-09-16",10010,FALSE,0,"1900-01-01",122,68,"75+"
"CP1000039409",155,"2013-01-09","2018-09-01",10538,FALSE,0,"1970-04-09",52,67,"25-54"
"CP1000039796",100,"2013-02-06",,10010,FALSE,1,"1981-04-20",41,111,"25-54"
"CP1000039825",130,"2013-02-09",,10003,FALSE,3,"1900-01-01",122,111,"75+"
"CP1000039866",130,"2013-02-11","2018-11-30",11937,FALSE,3,"1990-01-01",32,69,"25-54"
"CP1000039965",180,"2013-02-19","2019-04-30",10011,FALSE,1,"2018-04-05",4,74,"0-11"
"CP1000040151",210,"2013-03-02",,10003,FALSE,3,,,110,""
"CP1000040503",210,"2013-04-01",,10014,FALSE,1,,,109,""
"CP1000040728",100,"2013-04-17",,10011,FALSE,4,"1900-01-01",122,108,"75+"
"CP1000040762",130,"2013-04-19","2018-09-21",10011,FALSE,0,"1966-10-02",55,65,"55-74"
"CP1000040820",130,"2013-04-24","2018-12-01",10011,FALSE,3,"1900-01-01",122,67,"75+"
"CP1000040877",155,"2013-04-29",,10011,TRUE,3,,,108,""
"CP1000040878",180,"2013-04-29",,10011,FALSE,3,,,108,""
"CP1000041539",210,"2013-06-28","2019-05-30",10011,FALSE,3,"1969-05-16",52,71,"25-54"
"CP1000041836",240,"2013-07-18","2018-09-01",10003,FALSE,0,"1900-01-01",122,61,"75+"
"CP1000042356",155,"2013-08-15",,10011,FALSE,7,,,105,""
"CP1000042369",100,"2013-08-18",,10003,FALSE,3,"1900-01-01",122,104,"75+"
"CP1000042414",100,"2013-08-21","2019-06-27",10011,TRUE,1,"1962-02-15",60,70,"55-74"
"CP1000042415",100,"2013-08-21","2019-07-30",10011,FALSE,1,"1964-02-22",58,71,"55-74"
"CP1000042418",100,"2013-08-21",,10003,FALSE,4,,,104,""
"CP1000042632",100,"2013-09-10","2019-08-24",10011,FALSE,4,"1964-04-15",58,71,"55-74"
"CP1000042688",130,"2013-09-15","2019-03-01",10003,FALSE,0,"1900-01-01",122,65,"75+"
"CP1000042715",130,"2013-09-17","2019-06-30",10003,FALSE,1,"1938-11-15",83,69,"75+"
"CP1000042792",130,"2013-09-21",,10011,FALSE,7,,,103,""
"CP1000042886",130,"2013-09-29","2018-12-02",10003,FALSE,5,"1900-01-01",122,62,"75+"
"CP1000042928",130,"2013-09-30","2019-03-01",10003,TRUE,0,"1900-01-01",122,65,"75+"
"CP1000043009",180,"2013-10-08","2019-07-27",90025,TRUE,1,"1982-02-02",40,69,"25-54"
"CP1000043382",130,"2013-11-06","2018-11-22",10011,TRUE,2,"1974-01-12",48,60,"25-54"
"CP1000043407",130,"2013-11-09",,10011,FALSE,4,,,102,""
"CP1000043487",130,"2013-11-22","2019-03-25",10011,FALSE,1,"1980-05-02",42,64,"25-54"
"CP1000043489",155,"2013-11-22",,10014,FALSE,4,"1966-06-10",55,101,"55-74"
"CP1000043527",130,"2013-11-30","2019-09-03",10011,FALSE,1,"1978-05-02",44,69,"25-54"
"CP1000043625",130,"2013-12-16",,,FALSE,4,"2000-01-01",22,100,"12-24"
"CP1000043699",130,"2013-12-23",,10011,FALSE,4,"1900-01-01",122,100,"75+"
"CP1000043841",155,"2013-12-31",,10014,TRUE,2,,,100,""
"CP1000044253",155,"2014-01-31",,11228,TRUE,4,"1973-11-01",48,99,"25-54"
"CP1000044404",130,"2014-02-13",,10003,TRUE,1,"1973-07-26",48,99,"25-54"
"CP1410045",180,"2014-03-19",,10003,TRUE,2,"1990-03-19",32,97,"25-54"
"CP1410057",130,"2014-03-28","2019-06-30",10011,FALSE,3,"1976-09-26",45,63,"25-54"
"CP1410070",180,"2014-04-01",,10014,FALSE,6,"1958-04-29",64,97,"55-74"
"CP1410081",130,"2014-04-14","2019-07-02",10003,FALSE,1,"1979-01-22",43,62,"25-54"
"CP1410097",100,"2014-04-23","2018-10-31",10003,FALSE,1,"1975-04-13",47,54,"25-54"
"CP1410099",130,"2014-04-24","2019-07-02",10011,FALSE,1,"1988-09-08",33,62,"25-54"
"CP1410123",130,"2014-05-09","2018-11-02",10011,FALSE,7,"1967-01-02",55,53,"55-74"
"CP1410130",130,"2014-05-12","2019-09-01",10003,FALSE,1,"1986-09-18",35,63,"25-54"
"CP1410132",130,"2014-05-14","2018-11-03",10009,FALSE,3,"1976-08-25",45,53,"25-54"
"CP1410140",100,"2014-05-21","2019-12-31",10011,FALSE,4,"1976-06-08",45,67,"25-54"
"CP1410151",155,"2014-05-29",,10011,FALSE,1,"1985-12-13",36,95,"25-54"
"CP1410187",130,"2014-07-06",,10014,FALSE,11,"1980-09-25",41,94,"25-54"
"CP1410215",180,"2014-07-14","2019-06-01",11215,FALSE,1,"1968-05-06",54,58,"25-54"
"CP1410222",130,"2014-07-15",,10003,FALSE,2,"1966-02-19",56,94,"55-74"
"CP1410225",130,"2014-07-18","2019-03-01",10011,FALSE,0,"1982-08-03",39,55,"25-54"
"CP1410248",130,"2014-07-31","2018-10-02",10011,FALSE,3,"1980-08-01",41,50,"25-54"
"CP1410251",100,"2014-08-01","2019-02-22",11211,FALSE,3,"1981-11-27",40,54,"25-54"
"CP1410257",130,"2014-08-04",,10010,FALSE,8,"1983-07-07",38,93,"25-54"
"CP1410258",100,"2014-08-04",,10011,FALSE,4,"1986-12-10",35,93,"25-54"
"CP1410262",155,"2014-08-15",,10011,FALSE,2,"1989-08-28",32,93,"25-54"
"CP1410279",100,"2014-08-27","2019-05-31",10003,FALSE,1,"1969-10-29",52,57,"25-54"
"CP1410323",100,"2014-09-23","2018-11-01",11226,FALSE,1,"1989-09-19",32,49,"25-54"
"CP1410324",155,"2014-09-24",,10003,FALSE,3,"1982-02-22",40,91,"25-54"
"CP1410335",240,"2014-10-02","2019-05-01",10009,FALSE,2,"1900-01-01",122,54,"75+"
"CP1410341",155,"2014-10-07",,10003,FALSE,4,"1984-11-07",37,91,"25-54"
"CP1410350",210,"2014-10-14",,7043,FALSE,5,"1960-01-11",62,91,"55-74"
"CP1410354",210,"2014-10-19",,7601,FALSE,2,"1983-05-16",38,90,"25-54"
"CP1410392",130,"2014-12-08",,10014,FALSE,1,"1975-07-03",46,89,"25-54"
"CP1410400",130,"2014-12-08","2019-05-01",10011,FALSE,3,"1900-01-01",122,52,"75+"
"CP1410410",100,"2014-12-01","2019-01-01",10011,FALSE,3,"1982-02-02",40,49,"25-54"
"CP1410414",180,"2014-12-07",,10003,FALSE,4,"1990-02-17",32,89,"25-54"
"CP1410415",180,"2014-12-07",,10003,FALSE,2,"1979-11-26",42,89,"25-54"
"CP1410428",130,"2015-01-01","2019-06-13",10011,FALSE,1,"1982-02-02",40,53,"25-54"
"CP1410434",130,"2015-01-01","2018-08-26",10011,TRUE,1,"1982-02-02",40,43,"25-54"
"CP1410449",240,"2015-01-12","2018-11-23",10011,FALSE,3,"1977-03-31",45,46,"25-54"
"CP1410462",180,"2015-01-13","2019-02-12",10003,TRUE,2,"1982-02-02",40,48,"25-54"
"CP1410471",130,"2015-01-14","2019-11-01",10003,FALSE,4,"1990-05-06",32,57,"25-54"
"CP1410531",180,"2015-02-09","2019-09-05",10011,TRUE,5,"1958-03-18",64,54,"55-74"
"CP1410532",180,"2015-02-09","2019-09-05",10003,FALSE,5,"1957-10-31",64,54,"55-74"
"CP1410533",155,"2015-01-27",,10003,FALSE,2,"1962-01-03",60,87,"55-74"
"CP1410552",130,"2015-02-04","2019-06-22",10003,FALSE,2,"1960-04-04",62,52,"55-74"
"CP1410565",155,"2015-03-01",,10011,FALSE,1,"1984-12-27",37,86,"25-54"
"CP1410566",155,"2015-03-01",,10011,TRUE,1,"1982-07-01",39,86,"25-54"
"CP1410579",155,"2015-03-01",,10011,FALSE,5,"1966-06-19",55,86,"55-74"
"CP1410606",100,"2015-03-21","2019-09-01",10013,FALSE,2,"1960-03-10",62,53,"55-74"
"CP1410611",155,"2015-04-01",,10011,FALSE,1,"1984-07-22",37,85,"25-54"
"CP1410617",100,"2015-04-03","2018-11-01",10011,FALSE,4,"1987-04-03",35,42,"25-54"
"CP1410625",180,"2015-04-17",,8542,FALSE,3,"1979-10-10",42,84,"25-54"
"CP1410637",210,"2015-06-01",,10011,FALSE,1,"1983-06-10",38,83,"25-54"
"CP1410643",130,"2015-04-28","2018-09-12",10011,FALSE,0,"1985-01-16",37,40,"25-54"
"CP1410647",155,"2015-05-15",,10014,FALSE,1,"1975-05-15",47,84,"25-54"
"CP1410654",130,"2015-06-01","2018-09-21",10011,FALSE,0,"1957-10-15",64,39,"55-74"
"CP1410656",100,"2015-06-01","2018-10-28",10011,FALSE,3,"1947-09-19",74,40,"55-74"
"CP1410682",130,"2015-06-08","2018-10-20",10011,FALSE,0,"1981-06-27",40,40,"25-54"
"CP1410689",155,"2015-07-01",,10009,FALSE,4,"1987-09-09",34,82,"25-54"
"CP1410703",210,"2015-08-06",,10075,FALSE,3,"1986-02-08",36,81,"25-54"
"CP1410710",100,"2015-06-01","2018-09-02",10011,FALSE,0,"1958-06-14",63,39,"55-74"
"CP1410712",100,"2015-06-08","2018-10-01",10570,FALSE,2,"1958-06-13",63,39,"55-74"
"CP1410723",155,"2015-07-12",,10065,FALSE,2,"1964-04-02",58,82,"55-74"
"CP1410724",130,"2015-06-01","2019-02-01",10011,FALSE,2,"1991-03-21",31,44,"25-54"
"CP1410726",180,"2015-06-15",,10011,TRUE,4,"1989-06-07",32,83,"25-54"
"CP1410742",100,"2015-06-14","2018-10-01",11201,FALSE,2,"1986-11-25",35,39,"25-54"
"CP1410743",130,"2015-07-15","2019-01-02",10011,FALSE,4,"1968-10-21",53,41,"25-54"
"CP1410745",155,"2015-07-01",,11232,FALSE,3,"1984-05-13",38,82,"25-54"
"CP1410747",100,"2015-06-15","2019-01-01",10003,FALSE,2,"1962-04-05",60,42,"55-74"
"CP1410756",130,"2015-08-07","2019-02-28",10003,FALSE,1,"1961-02-20",61,42,"55-74"
"CP1410762",130,"2015-07-01","2018-10-01",10011,FALSE,3,"1990-05-23",31,39,"25-54"
"CP1410768",130,"2015-07-01","2019-08-01",10011,FALSE,1,"1957-10-12",64,49,"55-74"
"CP1410771",155,"2015-07-15",,10003,TRUE,4,"1990-09-09",31,82,"25-54"
"CP1410772",155,"2015-07-01",,10009,TRUE,2,"1991-11-15",30,82,"25-54"
"CP1410783",100,"2015-07-14","2018-11-01",10011,FALSE,1,"1959-11-28",62,39,"55-74"
"CP1410784",100,"2015-08-14","2018-11-01",10011,FALSE,1,"1958-10-28",63,38,"55-74"
"CP1410788",210,"2015-07-19","2018-11-01",11206,FALSE,1,"1986-06-07",35,39,"25-54"
"CP1410792",210,"2015-08-01",,10011,FALSE,5,"1982-04-20",40,81,"25-54"
"CP1410807",130,"2015-09-01","2019-02-01",10011,FALSE,4,"1962-11-04",59,41,"55-74"
"CP1410812",100,"2015-09-01","2019-02-02",10011,TRUE,2,"1978-09-29",43,41,"25-54"
"CP1410814",180,"2015-07-31","2018-11-01",10010,FALSE,2,"1956-12-24",65,39,"55-74"
"CP1410820",180,"2015-08-11","2018-11-01",10011,FALSE,1,"1953-07-05",68,38,"55-74"
"CP1410821",100,"2015-08-12","2018-10-15",10011,FALSE,0,"1951-07-03",70,38,"55-74"
"CP1410823",130,"2015-09-08","2019-06-05",10011,FALSE,4,"1954-12-31",67,44,"55-74"
"CP1410828",180,"2015-08-15","2019-01-31",10011,FALSE,1,"1974-10-09",47,41,"25-54"
"CP1410836",155,"2015-09-01",,11201,FALSE,1,"1969-08-05",52,80,"25-54"
"CP1410844",240,"2015-09-15","2018-11-30",10011,FALSE,3,"1945-03-09",77,38,"75+"
"CP1410856",100,"2015-09-01",,10003,FALSE,1,"1965-11-11",56,80,"55-74"
"CP1410872",130,"2015-09-08","2019-02-01",10011,FALSE,3,"1980-01-01",42,40,"25-54"
"CP1410894",130,"2015-09-28","2019-06-30",10003,FALSE,1,"1973-06-04",48,45,"25-54"
"CP1410898",155,"2015-10-01",,10011,FALSE,4,"1981-09-01",40,79,"25-54"
"CP1410911",180,"2015-10-01","2019-01-03",10011,TRUE,3,"1983-03-21",39,39,"25-54"
"CP1410913",240,"2015-10-01",,10001,FALSE,10,"1991-07-22",30,79,"25-54"
"CP1410919",210,"2015-10-05","2019-03-31",10003,FALSE,1,"1987-02-01",35,41,"25-54"
"CP1410926",100,"2015-11-15",,10002,FALSE,3,"1969-01-06",53,78,"25-54"
"CP1410927",130,"2015-10-14","2019-02-01",10011,TRUE,0,"1990-09-09",31,39,"25-54"
"CP1410934",155,"2015-10-15",,10011,FALSE,3,"1987-08-01",34,79,"25-54"
"CP1410935",155,"2015-10-15",,10011,FALSE,3,"1984-03-30",38,79,"25-54"
"CP1410962",100,"2015-12-01","2019-04-01",10011,FALSE,2,"1971-01-01",51,40,"25-54"
"CP1410967",210,"2016-01-01",,10011,TRUE,2,"1987-10-25",34,76,"25-54"
"CP1410973",100,"2015-12-01","2019-04-01",10011,FALSE,4,"1953-06-30",68,40,"55-74"
"CP1411004",130,"2015-12-22","2019-06-10",10011,FALSE,6,"1963-04-07",59,41,"55-74"
"CP1411005",210,"2015-12-23",,10011,FALSE,1,"1981-09-02",40,76,"25-54"
"CP1411008",130,"2015-12-31",,11249,FALSE,4,"1995-11-11",26,76,"25-54"
"CP1411019",210,"2015-12-30",,10011,FALSE,10,"1966-05-31",55,76,"55-74"
"CP1411036",130,"2016-02-01",,11230,FALSE,4,"1975-01-08",47,75,"25-54"
"CP1411042",130,"2016-03-01","2019-07-01",10010,FALSE,4,"1980-03-28",42,40,"25-54"
"CP1411045",240,"2016-02-01",,10011,FALSE,2,"1986-12-26",35,75,"25-54"
"CP1411055",100,"2016-02-01",,10011,FALSE,5,"1975-01-01",47,75,"25-54"
"CP1411058",130,"2016-02-01",,10011,FALSE,4,"1986-03-13",36,75,"25-54"
"CP1411084",155,"2016-02-01",,10011,FALSE,1,"1986-12-19",35,75,"25-54"
"CP1411094",130,"2016-02-02",,10013,FALSE,11,"1967-09-01",54,75,"25-54"
"CP1411103",210,"2016-02-08","2019-06-01",11228,FALSE,1,"1976-01-11",46,39,"25-54"
"CP1411106",210,"2016-02-08","2019-07-12",10011,FALSE,3,"1975-02-03",47,41,"25-54"
"CP1411111",100,"2016-02-12",,10010,TRUE,2,"1991-12-29",30,75,"25-54"
"CP1411130",180,"2016-04-01",,10011,FALSE,10,"1985-10-27",36,73,"25-54"
"CP1411140",155,"2016-03-01",,10011,FALSE,1,"1976-02-04",46,74,"25-54"
"CP1411142",155,"2016-04-01",,10003,FALSE,1,"1964-02-03",58,73,"55-74"
"CP1411143",155,"2016-05-01",,10009,FALSE,2,"1957-03-01",65,72,"55-74"
"CP1411154",130,"2016-03-01","2019-08-01",10011,FALSE,1,"1970-03-17",52,41,"25-54"
"CP1411158",155,"2016-04-01",,10011,FALSE,4,"1984-03-22",38,73,"25-54"
"CP1411161",180,"2016-04-01",,10011,FALSE,1,"1988-01-26",34,73,"25-54"
"CP1411173",180,"2016-04-01",,10011,TRUE,1,"1971-06-15",50,73,"25-54"
"CP1411174",180,"2016-03-19","2019-01-26",10014,FALSE,2,"1984-11-07",37,34,"25-54"
"CP1411180",100,"2016-03-25",,10011,FALSE,1,"1984-07-31",37,73,"25-54"
"CP1411188",130,"2016-03-31",,11377,FALSE,1,"1997-12-15",24,73,"12-24"
"CP1411189",130,"2016-03-31",,10002,TRUE,1,"1997-04-04",25,73,"25-54"
"CP1411226",130,"2016-06-01",,10011,FALSE,1,"1995-05-02",27,71,"25-54"
"CP1411231",180,"2016-06-15",,11209,TRUE,2,"1985-05-28",36,71,"25-54"
"CP1411235",155,"2016-06-01",,10031,FALSE,1,"1989-05-19",32,71,"25-54"
"CP1411237",180,"2016-05-08","2018-10-07",10011,FALSE,2,"1995-11-21",26,28,"25-54"
"CP1411242",100,"2016-06-10","2019-07-01",7302,FALSE,2,"1986-03-05",36,36,"25-54"
"CP1411251",265,"2016-07-01",,10282,FALSE,10,"2016-05-13",6,70,"0-11"
"CP1411252",155,"2016-06-01",,10001,FALSE,2,"1975-05-13",47,71,"25-54"
"CP1411255",130,"2016-05-15",,10011,TRUE,4,"1978-01-01",44,72,"25-54"
"CP1411260",180,"2016-06-01",,10010,FALSE,7,"1996-06-04",25,71,"25-54"
"CP1411263",100,"2016-07-01","2018-10-01",10011,FALSE,1,"1979-09-19",42,27,"25-54"
"CP1411264",100,"2016-07-01","2018-10-01",10011,FALSE,3,"1976-09-19",45,27,"25-54"
"CP1411268",130,"2016-05-23",,11216,TRUE,2,"1987-06-25",34,71,"25-54"
"CP1411279",130,"2017-02-07",,10003,FALSE,4,"1970-01-01",52,63,"25-54"
"CP1411283",100,"2016-05-31","2018-11-30",10014,FALSE,1,"1972-12-09",49,29,"25-54"
"CP1411289",130,"2016-06-08","2018-10-08",10018,FALSE,0,"1963-01-01",59,28,"55-74"
"CP1411290",100,"2016-06-09",,10009,FALSE,1,"1993-10-06",28,71,"25-54"
"CP1411299",130,"2016-06-15","2018-11-01",10003,FALSE,2,"1964-05-25",57,28,"55-74"
"CP1411313",155,"2016-09-01",,10011,FALSE,2,"1989-02-17",33,68,"25-54"
"CP1411317",180,"2016-07-15","2018-09-02",10011,FALSE,0,"1988-01-25",34,25,"25-54"
"CP1411324",130,"2016-07-07","2019-06-01",10011,TRUE,4,"2016-06-29",5,34,"0-11"
"CP1411326",130,"2016-06-29","2018-12-01",10011,FALSE,1,"1935-03-23",87,29,"75+"
"CP1411327",180,"2016-06-29","2018-11-01",10011,FALSE,1,"2016-01-01",6,28,"0-11"
"CP1411337",155,"2016-08-01",,10011,FALSE,2,"1957-07-24",64,69,"55-74"
"CP1411342",155,"2016-07-06",,10011,FALSE,3,"1977-10-01",44,70,"25-54"
"CP1411343",155,"2016-08-01",,10003,TRUE,3,"1993-06-20",28,69,"25-54"
"CP1411344",155,"2016-08-01",,10003,FALSE,3,"1991-04-08",31,69,"25-54"
"CP1411348",210,"2016-08-10",,33062,FALSE,4,"1984-03-04",38,69,"25-54"
"CP1411350",130,"2016-08-01","2019-04-01",10011,FALSE,1,"1971-05-31",50,32,"25-54"
"CP1411351",155,"2016-08-01",,10011,FALSE,4,"1988-06-26",33,69,"25-54"
"CP1411353",155,"2016-08-01",,10011,FALSE,3,"1984-10-17",37,69,"25-54"
"CP1411355",100,"2016-08-18","2019-10-17",10570,FALSE,2,"1960-07-18",61,37,"55-74"
"CP1411356",180,"2016-08-01",,10010,FALSE,2,"1975-07-01",46,69,"25-54"
"CP1411358",155,"2016-08-01",,10010,TRUE,5,"1975-07-13",46,69,"25-54"
"CP1411361",180,"2016-08-15","2019-05-15",7732,FALSE,2,"1975-03-31",47,33,"25-54"
"CP1411371",155,"2016-08-01",,11211,FALSE,1,"1983-04-08",39,69,"25-54"
"CP1411372",155,"2016-08-01",,11211,TRUE,1,"1986-02-27",36,69,"25-54"
"CP1411374",100,"2016-07-31","2018-10-31",10003,FALSE,2,"1987-06-01",34,27,"25-54"
"CP1411377",180,"2016-09-07","2019-01-02",10014,FALSE,4,"1964-09-18",57,27,"55-74"
"CP1411387",155,"2016-09-24",,27514,FALSE,1,"1970-07-15",51,67,"25-54"
"CP1411391",210,"2016-09-20",,10028,FALSE,3,"1986-12-19",35,67,"25-54"
"CP1411395",180,"2016-10-01","2019-01-02",90272,FALSE,7,"1952-10-01",69,27,"55-74"
"CP1411399",155,"2016-09-01",,10018,FALSE,2,"1960-05-25",61,68,"55-74"
"CP1411404",210,"2016-10-01","2019-06-01",11354,TRUE,1,"1977-09-17",44,32,"25-54"
"CP1411416",100,"2016-09-04","2018-12-01",10011,TRUE,4,"1982-08-17",39,26,"25-54"
"CP1411419",100,"2016-09-06","2018-12-08",10003,FALSE,4,"1970-10-25",51,27,"25-54"
"CP1411420",180,"2016-10-01","2018-12-01",10011,FALSE,2,"1954-12-13",67,26,"55-74"
"CP1411425",100,"2016-10-15",,10011,FALSE,8,"1989-10-17",32,67,"25-54"
"CP1411430",100,"2016-09-13","2018-10-13",10003,FALSE,0,"1997-08-29",24,25,"12-24"
"CP1411435",180,"2016-10-15",,10011,TRUE,3,"1965-09-04",56,67,"55-74"
"CP1411436",180,"2016-10-01",,11215,FALSE,2,"1986-08-19",35,67,"25-54"
"CP1411441",130,"2016-10-01",,7078,FALSE,5,"1980-04-17",42,67,"25-54"
"CP1411442",130,"2016-10-01",,10032,FALSE,5,"1980-09-01",41,67,"25-54"
"CP1411447",210,"2016-11-01",,10011,FALSE,3,"1992-04-25",30,66,"25-54"
"CP1411450",180,"2016-09-29","2019-04-01",10010,FALSE,5,"1994-05-19",27,30,"25-54"
"CP1411466",180,"2016-11-01",,12498,FALSE,3,"1943-10-03",78,66,"75+"
"CP1411477",180,"2016-10-25","2019-01-01",10011,FALSE,3,"1990-04-06",32,26,"25-54"
"CP1411484",180,"2016-12-01",,10011,FALSE,3,"1987-06-17",34,65,"25-54"
"CP1411486",155,"2016-12-01",,10009,TRUE,2,"1988-08-19",33,65,"25-54"
"CP1411489",180,"2016-11-08","2019-01-01",10012,FALSE,3,"1990-02-10",32,25,"25-54"
"CP1411491",180,"2016-11-13",,11374,FALSE,6,"1978-09-01",43,66,"25-54"
"CP1411494",180,"2017-02-14","2019-05-01",10011,FALSE,1,"1989-08-10",32,26,"25-54"
"CP1411498",100,"2016-11-28","2019-02-01",11204,FALSE,0,"1988-08-12",33,26,"25-54"
"CP1411500",100,"2016-11-17","2019-06-01",11423,FALSE,2,"1987-07-17",34,30,"25-54"
"CP1411502",100,"2016-12-01",,10011,FALSE,1,"1991-09-17",30,65,"25-54"
"CP1411510",210,"2016-12-01",,10003,FALSE,1,"1973-09-22",48,65,"25-54"
"CP1411515",155,"2016-12-01",,10012,FALSE,4,"1991-09-25",30,65,"25-54"
"CP1411517",100,"2017-01-01",,11205,FALSE,10,"1986-03-17",36,64,"25-54"
"CP1411528",155,"2017-01-01",,10011,FALSE,1,"1991-05-21",30,64,"25-54"
"CP1411529",180,"2017-01-01","2019-03-01",7030,FALSE,0,"1990-05-03",32,26,"25-54"
"CP1411531",130,"2016-12-12","2019-04-12",10011,FALSE,1,"1982-08-23",39,28,"25-54"
"CP1411533",130,"2017-01-01",,10003,FALSE,3,"1985-09-29",36,64,"25-54"
"CP1411534",100,"2017-01-01","2019-05-02",10003,TRUE,2,"1975-07-12",46,28,"25-54"
"CP1411538",100,"2017-01-01",,10011,FALSE,2,"1990-01-01",32,64,"25-54"
"CP1411542",100,"2017-02-01",,7601,FALSE,1,"1974-02-09",48,63,"25-54"
"CP1411543",130,"2017-02-01","2019-04-01",11964,FALSE,1,"1970-01-01",52,26,"25-54"
"CP1411549",130,"2017-02-01",,10011,TRUE,4,"1970-07-03",51,63,"25-54"
"CP1411555",155,"2016-12-24","2019-02-28",10010,FALSE,2,"1978-10-27",43,26,"25-54"
"CP1411562",210,"2017-02-01",,10463,FALSE,3,"1980-01-03",42,63,"25-54"
"CP1411565",180,"2017-02-01",,10011,FALSE,4,"1972-10-29",49,63,"25-54"
"CP1411566",180,"2017-02-01",,10030,FALSE,1,"1989-09-29",32,63,"25-54"
"CP1411570",180,"2016-12-28","2019-01-02",11225,TRUE,3,"1976-07-23",45,24,"25-54"
"CP1411572",130,"2016-12-28","2019-02-01",10011,FALSE,0,"1964-11-12",57,25,"55-74"
"CP1411575",210,"2016-12-29",,10003,FALSE,7,"1990-12-13",31,64,"25-54"
"CP1411579",210,"2017-02-01","2019-05-01",10011,FALSE,3,"1989-08-08",32,27,"25-54"
"CP1411582",180,"2016-12-29",,10010,FALSE,8,"1975-12-29",46,64,"25-54"
"CP1411585",210,"2016-12-30",,10001,FALSE,3,"1971-10-03",50,64,"25-54"
"CP1411594",180,"2017-02-01",,10009,TRUE,3,"1977-06-25",44,63,"25-54"
"CP1411595",180,"2016-12-31","2019-01-01",11238,FALSE,5,"1968-08-09",53,24,"25-54"
"CP1411596",100,"2017-02-01","2019-09-22",10011,FALSE,2,"1964-10-29",57,31,"55-74"
"CP1411597",130,"2016-12-31","2018-11-30",10003,FALSE,2,"1976-01-04",46,22,"25-54"
"CP1411603",130,"2017-01-01","2019-01-14",11215,FALSE,2,"2017-01-01",5,24,"0-11"
"CP1411610",100,"2017-02-01",,10011,FALSE,2,"1958-05-21",63,63,"55-74"
